number,name,diameter (km),Period (h),a (AU),e,slow,a_mean
51529,2001FB128,6.32,13.1972,3.0012,0.2134,False,2.932067095001585
51589,2001HQ13,5.03,20.9518,2.6924,0.1554,False,2.659691724668654
51687,2001KP12,2.62,18.7984,2.3001,0.0962,False,2.289432192764192
51695,2001KQ16,3.51,147.92,2.5703,0.1652,False,2.534984302646493
51699,2001KA21,3.24,8.7595,2.7729,0.1594,False,2.7374459227827557
51722,2001KF38,3.84,2.50322,2.6538,0.1316,False,2.630719636624472
51763,2001LD8,13.07,13.3965,3.3444,0.1227,False,3.3191290680420824
51764,2001LR8,12.23,139.72,3.1437,0.1986,False,3.0810794744441448
51794,2001MC26,3.98,3.02172,2.7088,0.1622,False,2.6729298088364817
51796,2001MJ27,9.21,3.4976,3.0332,0.0257,False,3.0321981354082888
51797,2001MM27,7.78,5.75529,3.1959,0.0785,False,3.1860378158227465
51809,2001OQ1,4.18,11.6923,3.0596,0.0681,False,3.0524971395779
51813,2001OT8,7.54,7.1551,3.0671,0.1013,False,3.051322605243557
51818,2001OM15,6.24,12.9504,2.592,0.2369,False,2.518216230507809
51822,2001OB25,9.08,4.6713,3.1738,0.064,False,3.1672933879926184
51828,Ilanramon,5.55,3.59135,2.7735,0.1264,False,2.7512547400493177
51832,2001OS46,7.35,20.8929,2.9934,0.0265,False,2.9923487578338843
51841,2001OO65,3.14,3.58781,2.5663,0.1609,False,2.532862942956403
51843,2001OF83,7.58,2.69611,2.986,0.2004,False,2.9254264889155293
51846,2001OT88,3.78,7.9024,2.608,0.1362,False,2.583696990761076
51857,2001OA105,5.44,4.313479,2.6773,0.1571,False,2.64405516360558
51858,2001OQ105,8.22,77.07,3.0355,0.1249,False,3.01173001744137
51862,2001PH,8.86,21.1892,2.7969,0.1569,False,2.7622589800260164
51867,2001PC4,4.9,5.85707,2.7475,0.1274,False,2.7251117773419407
51869,2001PR4,4.59,979.6,2.9723,0.0481,False,2.968859637431885
51870,2001PC6,6.71,17.0301,3.0742,0.1084,False,3.0560848411545845
51881,2001PF58,6.06,44.263,2.9739,0.0408,False,2.9714237325993387
51882,2001QM6,7.33,10.1333,3.0561,0.0891,False,3.0439449291095557
51884,2001QS10,4.63,8.8783,2.946,0.084,False,2.935588112917751
51896,2001QY34,3.66,3.21112,3.0598,0.0459,False,3.0565750919182677
51906,2001QN51,8.44,6.5169,3.1791,0.1266,False,3.1535204836859894
51909,2001QD60,6.63,7.28469,2.6465,0.161,False,2.6119748361187844
51915,Andry,16.19,14.89556,2.6769,0.1681,False,2.6388075732853515
51920,2001QL87,19.34,408.47,3.1299,0.0654,False,3.123199285773386
51932,2001QF129,6.94,222.8,3.1367,0.0222,False,3.1359269591278958
51950,2001QA222,6.8,12.3112,3.0597,0.0733,False,3.05146921356557
51951,2001QD222,6.14,26.3277,3.0587,0.1248,False,3.0347868350433482
51964,2001QU276,10.21,13.526,3.1685,0.0611,False,3.1625801318635984
51965,2001QO281,15.98,7.7127,3.1692,0.2056,False,3.1014935666191943
51966,2001QG282,13.24,115.08,3.0824,0.09,False,3.069890897563625
51967,2001QC283,6.65,3.85219,3.0974,0.1776,False,3.048159885299474
51980,2001RN147,7.32,4.38508,2.983,0.0836,False,2.9725576889457606
51989,2001ST286,11.31,2.47992,3.1549,0.1207,False,3.131834620298341
52000,2001UY22,9.59,14.1945,3.065,0.1068,False,3.0474698054346656
52161,4302T-1,3.18,4.98221,2.5747,0.1083,False,2.5595562777214336
52184,3361T-2,3.96,4.69255,2.8572,0.0709,False,2.850009651720985
52187,4125T-2,9.65,16.1277,3.2178,0.0707,False,3.209747854691647
52225,Panchenko,10.66,7.0085,3.0557,0.194,False,2.9976463723205176
52228,Protos,5.59,4.61554,3.213,0.1335,False,3.184239836576345
52260,Ureshino,4.08,9.3019,2.398,0.282,False,2.300675742538266
52261,Izumishikibu,4.78,3.45843,2.9698,0.1183,False,2.948945767586872
52272,1988RO5,11.05,193.0,2.6702,0.171,False,2.6308707008407617
52334,Oberammergau,6.03,68.16,2.4046,0.1438,False,2.3796084400776967
52344,Yehudimenuhin,12.54,4.374595,3.1319,0.0526,False,3.12756439120357
52345,1993FG1,8.97,121.6,2.3064,0.1925,False,2.263263339445059
52410,1993UG6,4.78,43.025,2.5288,0.1173,False,2.511342495008298
52421,Daihoji,11.32,22.5465,3.1259,0.1339,False,3.0977507973148586
52440,1994QN,3.21,5.96658,2.3339,0.2469,False,2.261644705987921
52467,1995OS10,8.32,11.82,3.2072,0.1531,False,3.169389360943495
52542,1996VU4,12.39,14.0894,3.0012,0.1504,False,2.9670620320908307
52608,1997TM19,2.14,7.834,2.6497,0.1403,False,2.62349192182986
52630,1997WL8,3.91,21.111,2.7244,0.0727,False,2.7171908397165163
52637,1997WH35,6.27,11.5397,2.7758,0.0477,False,2.7726403266922244
52656,1998AN6,6.97,8.3539,3.1674,0.0651,False,3.1606811373529746
52673,1998DW5,9.23,23.294,3.1353,0.1746,False,3.0871400572422
52695,1998FG32,11.45,15.74289,3.1769,0.1042,False,3.1596061109183085
52705,1998FA77,12.71,7.0893,3.0948,0.0777,False,3.085443754483507
