period,diameter.value
47.664389274,1.588
12.134106385,7.082
3.273363766,6.973
56.606010767,4.265
260.284196386,7.795
4.620448415,4.948
293.348730479,9.41
7.656966226,5.543
151.30036172,4.242
28.619498869,4.853
10.027761003,6.89
3.359285753,10.476
68.548373006,25.079
2.788590368,3.0239999999999996
8.951069592,9.352
77.740601495,2.391
5.847637834,7.147
2.971352337,7.519
36.624003403,7.519
8.37423793,7.636
7.387373261,3.131
19.599260748,4.46
28.860322563,1.277
168.00045801,5.063
4.349325263,6.871
10.624697324,3.11
14.860809856,7.703999999999998
13.164657233,2.937
26.889802123,94.671
47.532967798,15.94
9.073819662,8.686
13.306540681,4.296
40.452209847,11.761
18.458749446,11.025
53.84726957,8.320999999999998
7.299763497,9.041
3.509018515,4.065
9.939723905,77.446
3.194540691,2.328
5.723933272,4.055
4.517640766,7.373
9.513742653,3.463
41.359283757,5.757999999999999
34.799568745,7.38
3.209953127,2.761
63.578650976,4.25
15.577886663,11.290999999999999
11.66766276,6.893
8.209094451,4.078
564.645850557,4.188
34.070611101,30.323
2.770724094,9.156
3.341481768,3.591
120.404271171,4.128
2.716318226,5.66
9.632672247,6.55
13.197092671,2.377
198.111779342,4.862
98.524691097,2.558
6.392334976,2.25
206.692644177,2.4
14.126079874,3.403
26.344669765,10.63
15.559033976,12.066
61.356450557,45.121
9.709476611,78.979
176.915123749,7.522999999999999
28.101525415,8.801
20.508896172,2.6289999999999996
10.527781951,8.410999999999998
10.060553244,4.501
101.308776066,2.349
10.690111255,3.906
4.75143677,7.15
15.46306763,1.813
3.584385178,8.005
8.596870099,5.692
26.387221236,6.869
225.417793615,4.123
29.43102467,2.037
12.274995731,17.303
48.428567017,20.394
4.327458861,4.584
157.93949237,5.641
7.285395845,5.87
132.173113334,4.232
38.976820807,2.472
21.848447558,2.279
77.249758121,7.102
3.135487992,5.354
178.645422649,3.846
363.703002948,10.389
5.225783844,4.63
21.860987037,4.357
103.220580113,2.617
4.769967768,4.942
10.389906451,2.439
13.026463638,73.4
29.367430052,7.511999999999999
6.752181079,4.011
23.305751712,2.765
12.442449197,2.853
205.254990627,16.475
2.767778377,3.113
76.551128771,5.33
156.723596028,8.227
7.602826975,9.119
4.731224525,9.867
30.636193278,10.204
586.496226769,14.398
14.42351504,11.186
61.378976319,2.429
19.325262745,6.992000000000001
7.513265966,13.154000000000002
7.180983423,8.820999999999998
8.821274674,24.673
25.40480467,2.993
